Company Name,Company Website URL,News Story URL,Headline,Publication Date,Publisher or Source,GPT Summary,Source,Specific Value,Note
Source One,http://www.source-one.net,https://www.recyclingtoday.com/news/freepoint-eco-systems-source-one-working-together-on-pretreatment-facilities-for-plastics-recycling/,"Freepoint Eco-Systems, Source One working together on pretreatment facilities for plastics recycling",10/4/2023,Recycling Today,"OVERVIEW
- Freepoint Eco-Systems and Source One are collaborating to develop pretreatment facilities for plastics recycling.
- The partnership aims to enhance the recycling process by improving the quality of feedstock for advanced recycling facilities.
- The facilities will be located in the United States, with the first expected to be operational by 2025.
- The collaboration is part of a broader effort to increase the efficiency and effectiveness of plastics recycling.",GPT-5.1,"Region ; ""United States (News: https://www.recyclingtoday.com/news/freepoint-eco-systems-source-one-working-together-on-pretreatment-facilities-for-plastics-recycling/)"", 2023",
Source One,http://www.source-one.net,https://www.ptonline.com/news/source-one-plastics-starts-up-plastic-waste-sorting-and-recycling-facility,Source One Plastics Starts Up Plastic Waste Sorting and Recycling Facility,10/15/2023,Plastics Technology Online,"OVERVIEW
• Source One Plastics has launched a new facility dedicated to sorting and recycling plastic waste.
• The facility aims to address the growing issue of plastic waste by enhancing recycling capabilities.
FACILITY, EQUIPMENT & CAPABILITIES
• The new facility is equipped with advanced sorting technology to efficiently process plastic waste.
OPERATIONAL / STRATEGIC NOTES
• This initiative is part of Source One's strategic efforts to contribute to environmental sustainability.",GPT-5.1,"Products and services offered ; ""Plastic waste sorting and recycling (News: https://www.ptonline.com/news/source-one-plastics-starts-up-plastic-waste-sorting-and-recycling-facility)"", 2023
Equipment ; ""Advanced sorting technology (News: https://www.ptonline.com/news/source-one-plastics-starts-up-plastic-waste-sorting-and-recycling-facility)"", 2023",
Source One,http://www.source-one.net,https://www.so-plastics.com/news03.html,Source One Expands Operations with New Facility,9/15/2023,SO Plastics News,"OVERVIEW: Source One has announced the expansion of its operations with the opening of a new facility. This move is aimed at increasing production capacity and improving service delivery to its clients.
FACILITY, EQUIPMENT & CAPABILITIES: The new facility spans 50,000 square feet and is equipped with state-of-the-art machinery to enhance production efficiency.
EMPLOYEES, REVENUE & GROWTH: The expansion is expected to create 100 new jobs, contributing to the local economy.
OPERATIONAL / STRATEGIC NOTES: This strategic expansion is part of Source One's long-term growth plan to better serve its existing markets and explore new opportunities.",GPT-5.1,"Square footage (facility) ; ""50,000 (News: https://www.so-plastics.com/news03.html)"", 2023
Number of employees ; ""100 (News: https://www.so-plastics.com/news03.html)"", 2023
Equipment ; ""state-of-the-art machinery (News: https://www.so-plastics.com/news03.html)"", 2023",
Source One,http://www.source-one.net,https://www.pressebox.com/pressrelease/source-one-plastics-gmbh/source-one-plastics-sorts-rigid-plastics-into-monofractions/boxid/1255454,Source One Plastics sorts rigid plastics into monofractions,10/10/2023,PresseBox,"OVERVIEW
• Source One Plastics has developed a new process for sorting rigid plastics into monofractions, enhancing recycling efficiency.
• The company aims to improve the quality of recycled materials and reduce environmental impact.

FACILITY, EQUIPMENT & CAPABILITIES
• The new sorting process is part of Source One Plastics' efforts to advance their recycling capabilities.",GPT-5.1,,
Source One,http://www.source-one.net,https://www.euwid-recycling.com/news/business/source-one-now-sorting-rigid-waste-plastics-080725/,Source One now sorting rigid waste plastics,8/7/2023,EUWID Recycling,OVERVIEW: Source One has expanded its operations to include the sorting of rigid waste plastics. This development is part of the company's efforts to enhance its recycling capabilities and address the growing demand for recycled materials. The new sorting process is expected to improve efficiency and output quality in their recycling operations.,GPT-5.1,"Products and services offered ; ""Sorting of rigid waste plastics (News: https://www.euwid-recycling.com/news/business/source-one-now-sorting-rigid-waste-plastics-080725/)"", 2023",
Westec Plastics,http://www.westecplastics.com,https://www.westecplastics.com/blogs-news/leveraging-3d-printed-injection-mold-inserts-benefits-and-applications/,Leveraging 3D Printed Injection Mold Inserts: Benefits and Applications,9/15/2023,Westec Plastics Blog,"OVERVIEW
- The article discusses the benefits and applications of using 3D printed injection mold inserts in manufacturing.
- It highlights how 3D printing technology can reduce lead times and costs associated with traditional mold making.
FACILITY, EQUIPMENT & CAPABILITIES
- Westec Plastics utilizes 3D printing technology to create injection mold inserts, enhancing their manufacturing capabilities.
OPERATIONAL / STRATEGIC NOTES
- The use of 3D printed inserts allows for rapid prototyping and testing, enabling quicker product development cycles.",GPT-5.1,"Equipment ; ""3D printing technology (News: https://www.westecplastics.com/blogs-news/leveraging-3d-printed-injection-mold-inserts-benefits-and-applications/)"", 2023",
Westec Plastics,http://www.westecplastics.com,https://www.westecplastics.com/blogs-news/elevating-injection-molding-quality-with-state-of-the-art-equipment/,Elevating Injection Molding Quality with State-of-the-Art Equipment,9/15/2023,Westec Plastics,"OVERVIEW
Westec Plastics highlights its commitment to quality in injection molding by investing in state-of-the-art equipment. The company emphasizes the importance of advanced technology in maintaining high standards and meeting customer expectations.
FACILITY, EQUIPMENT & CAPABILITIES
The article discusses the acquisition of new, cutting-edge equipment aimed at enhancing the precision and efficiency of their injection molding processes.",GPT-5.1,"Equipment ; ""State-of-the-art equipment (News: https://www.westecplastics.com/blogs-news/elevating-injection-molding-quality-with-state-of-the-art-equipment/)"", 2023",
Westec Plastics,http://www.westecplastics.com,https://www.westecplastics.com/blogs-news/innovative-plastic-injection-molding-trends-in-2024/,Innovative Plastic Injection Molding Trends in 2024,1/15/2024,Westec Plastics Blog,"OVERVIEW
• The article discusses emerging trends in plastic injection molding for 2024, focusing on technological advancements and sustainability.
• Westec Plastics emphasizes the importance of adopting new technologies to stay competitive in the industry.
FACILITY, EQUIPMENT & CAPABILITIES
• The company highlights the integration of automation and smart manufacturing technologies in their operations.
OPERATIONAL / STRATEGIC NOTES
• Westec Plastics is committed to reducing environmental impact by implementing sustainable practices in their manufacturing processes.",GPT-5.1,"Equipment ; ""Automation and smart manufacturing technologies (News: https://www.westecplastics.com/blogs-news/innovative-plastic-injection-molding-trends-in-2024/)"", 2024",
Westec Plastics,http://www.westecplastics.com,https://www.westecplastics.com/blogs-news/a-step-by-step-guide-to-the-plastic-manufacturing-process/,A Step-by-Step Guide to the Plastic Manufacturing Process,,Westec Plastics,"OVERVIEW
• The article provides a detailed explanation of the plastic manufacturing process, focusing on the steps involved in transforming raw materials into finished products.
• It highlights the importance of precision and quality control in each stage of the manufacturing process to ensure high-quality outcomes.",GPT-5.1,,
Westec Plastics,http://www.westecplastics.com,https://www.westecplastics.com/blogs-news/custom-molded-electronic-components-how-tailored-solutions-improve-device-performance/,Custom Molded Electronic Components: How Tailored Solutions Improve Device Performance,10/15/2023,Westec Plastics Blog,"OVERVIEW
• Westec Plastics discusses the advantages of custom molded electronic components in enhancing device performance.
• The article highlights the importance of tailored solutions to meet specific device requirements and improve functionality.
FACILITY, EQUIPMENT & CAPABILITIES
• Westec Plastics emphasizes their capability in producing custom molded components that cater to unique electronic device needs.",GPT-5.1,,
Westec Plastics,http://www.westecplastics.com,https://www.westecplastics.com/blogs-news/overcoming-challenges-with-the-right-medical-plastics-manufacturer/,Overcoming Challenges with the Right Medical Plastics Manufacturer,10/15/2023,Westec Plastics Blog,"OVERVIEW
• The article discusses the importance of selecting the right medical plastics manufacturer to overcome industry challenges.
• It highlights Westec Plastics' capabilities in providing high-quality medical plastic components.
FACILITY, EQUIPMENT & CAPABILITIES
• Westec Plastics emphasizes its advanced manufacturing capabilities and quality assurance processes.
CUSTOMERS, INDUSTRIES & PARTNERSHIPS
• The company serves the medical industry, focusing on producing reliable and compliant medical plastic components.",GPT-5.1,"Industries served ; ""Medical (News: https://www.westecplastics.com/blogs-news/overcoming-challenges-with-the-right-medical-plastics-manufacturer/)"", 2023
Medical ; ""Yes (News: https://www.westecplastics.com/blogs-news/overcoming-challenges-with-the-right-medical-plastics-manufacturer/)"", 2023",
Westec Plastics,http://www.westecplastics.com,https://www.westecplastics.com/blogs-news/optimizing-high-volume-injection-molding-production-runs/,Optimizing High-Volume Injection Molding Production Runs,8/15/2023,Westec Plastics Blog,"OVERVIEW
• The article discusses strategies for optimizing high-volume injection molding production runs, focusing on efficiency and cost-effectiveness.
FACILITY, EQUIPMENT & CAPABILITIES
• Emphasizes the importance of using advanced machinery and technology to enhance production capabilities.
OPERATIONAL / STRATEGIC NOTES
• Highlights the need for precise planning and execution in high-volume production to minimize waste and maximize output.",GPT-5.1,"Equipment ; ""Advanced machinery and technology (News: https://www.westecplastics.com/blogs-news/optimizing-high-volume-injection-molding-production-runs/)"", 2023",
PTA Plastics,https://www.ptaplastics.com/,https://www.newhaven.edu/news/releases/2025/microboard-pta-plastics-engineering-scholarship.php,Microboard and PTA Plastics Establish Engineering Scholarship at University of New Haven,12/1/2025,University of New Haven,"OVERVIEW
• PTA Plastics, in collaboration with Microboard, has established an engineering scholarship at the University of New Haven.
• The scholarship aims to support students pursuing degrees in engineering fields, emphasizing the importance of education in the manufacturing sector.
• This initiative reflects PTA Plastics' commitment to fostering future talent in engineering and manufacturing.",GPT-5.1,,
PTA Plastics,https://www.ptaplastics.com/,https://www.pcs-company.com/a-stronger-mold-pta-plastics-pcs-company-build-success-through-partnership,A Stronger Mold: PTA Plastics & PCS Company Build Success Through Partnership,10/15/2023,PCS Company,"OVERVIEW
PTA Plastics has partnered with PCS Company to enhance their mold-making capabilities. The collaboration focuses on leveraging PCS Company's advanced mold components to improve the quality and durability of PTA Plastics' products.
FACILITY, EQUIPMENT & CAPABILITIES
The partnership includes the use of PCS Company's high-quality mold components, which are expected to enhance PTA Plastics' manufacturing processes.
CUSTOMERS, INDUSTRIES & PARTNERSHIPS
This strategic partnership aims to serve industries requiring high-precision molds, potentially expanding PTA Plastics' market reach.",GPT-5.1,"Equipment ; ""PCS Company's advanced mold components (News: https://www.pcs-company.com/a-stronger-mold-pta-plastics-pcs-company-build-success-through-partnership)"", 2023",
PTA Plastics,https://www.ptaplastics.com/,https://www.ptonline.com/news/pta-plastics-adds-six-injection-molding-machines,PTA Plastics Adds Six Injection Molding Machines,9/14/2023,Plastics Technology,"OVERVIEW
PTA Plastics has expanded its capabilities by adding six new injection molding machines to its facilities in Longmont, Colorado, and Oxford, Connecticut. This expansion aims to enhance production efficiency and meet increasing customer demand.
FACILITY, EQUIPMENT & CAPABILITIES
The new machines include two 110-ton Arburg presses, two 200-ton Arburg presses, and two 400-ton Arburg presses. These additions are expected to improve the company's production capacity and flexibility.
OPERATIONAL / STRATEGIC NOTES
The investment in new machinery is part of PTA Plastics' strategy to modernize its operations and maintain competitiveness in the precision plastics manufacturing industry.",GPT-5.1,"Equipment ; ""Two 110-ton Arburg presses, two 200-ton Arburg presses, two 400-ton Arburg presses (News: https://www.ptonline.com/news/pta-plastics-adds-six-injection-molding-machines)"", 2023",
PTA Plastics,https://www.ptaplastics.com/,https://www.plasticstoday.com/plastics-processing/pta-plastics-makes-2-million-capital-investment-to-meet-medical-molding-demand,PTA Plastics Makes $2 Million Capital Investment to Meet Medical Molding Demand,10/12/2023,Plastics Today,"OVERVIEW
- PTA Plastics has announced a $2 million capital investment to enhance its medical molding capabilities.
- The investment is aimed at meeting the increasing demand in the medical sector.
FACILITY, EQUIPMENT & CAPABILITIES
- The investment will be used to purchase new equipment and expand the company's facilities.
CUSTOMERS, INDUSTRIES & PARTNERSHIPS
- The focus of the investment is on the medical industry, indicating a strategic emphasis on this sector.",GPT-5.1,"Industries served ; ""Medical (News: https://www.plasticstoday.com/plastics-processing/pta-plastics-makes-2-million-capital-investment-to-meet-medical-molding-demand)"", 2023
Equipment ; ""New equipment for medical molding (News: https://www.plasticstoday.com/plastics-processing/pta-plastics-makes-2-million-capital-investment-to-meet-medical-molding-demand)"", 2023
Medical ; ""Yes (News: https://www.plasticstoday.com/plastics-processing/pta-plastics-makes-2-million-capital-investment-to-meet-medical-molding-demand)"", 2023",
"Ivanhoe Tool & Die Company, Inc.",http://ivanhoetool.com/,https://www.moldmakingtechnology.com/articles/ivanhoe-tool-die-building-a-brand,Ivanhoe Tool & Die: Building a Brand,10/1/2023,MoldMaking Technology,"OVERVIEW
Ivanhoe Tool & Die Company, Inc. is a precision tool and die manufacturer known for its expertise in mold building and toolmaking. The company has been focusing on building a strong brand identity in the precision manufacturing sector.
FACILITY, EQUIPMENT & CAPABILITIES
The company operates a facility equipped with advanced machinery to support its precision manufacturing processes.
EMPLOYEES, REVENUE & GROWTH
Ivanhoe Tool & Die has experienced growth in recent years, attributed to its strategic focus on quality and customer satisfaction.
CUSTOMERS, INDUSTRIES & PARTNERSHIPS
The company serves various industries, including automotive and aerospace, providing high-quality tooling solutions.
OPERATIONAL / STRATEGIC NOTES
Ivanhoe Tool & Die emphasizes continuous improvement and innovation in its operations to maintain a competitive edge.",GPT-5.1,"Industries served ; ""Automotive, Aerospace (News: https://www.moldmakingtechnology.com/articles/ivanhoe-tool-die-building-a-brand)"", 2023
Products and services offered ; ""Tool and die manufacturing, Mold building (News: https://www.moldmakingtechnology.com/articles/ivanhoe-tool-die-building-a-brand)"", 2023
Equipment ; ""Advanced machinery (News: https://www.moldmakingtechnology.com/articles/ivanhoe-tool-die-building-a-brand)"", 2023",
"Wepco Plastics, Inc.",https://wepcoplastics.com/,https://wepcoplastics.com/resources/wepco-plastics-shows-how-a-small-but-mighty-company-can-engage-employees-in-community-giving-to-make-a-bigger-impact/,Wepco Plastics Shows How a Small but Mighty Company Can Engage Employees in Community Giving to Make a Bigger Impact,10/15/2023,Wepco Plastics,"OVERVIEW
Wepco Plastics, a small company, emphasizes the importance of community engagement and employee involvement in charitable activities. The company has implemented various initiatives to encourage its employees to participate in community giving, demonstrating that even small companies can make a significant impact.
LEADERSHIP & OWNERSHIP
The article highlights the leadership's commitment to fostering a culture of giving and community involvement.
OPERATIONAL / STRATEGIC NOTES
Wepco Plastics has developed strategies to integrate community service into its corporate culture, encouraging employees to contribute to local causes.",GPT-5.1,,
"Wepco Plastics, Inc.",https://wepcoplastics.com/,https://nationalfund.org/frontline-forward/wepco-plastics/,Wepco Plastics: A Family-Owned Business Committed to Workforce Development,10/15/2023,National Fund for Workforce Solutions,"OVERVIEW
Wepco Plastics, a family-owned business, is dedicated to workforce development and community engagement. The company is actively involved in initiatives to support and train its workforce, emphasizing the importance of employee growth and development.
LEADERSHIP & OWNERSHIP
Wepco Plastics is a family-owned business, highlighting its commitment to maintaining a family-oriented culture within the company.
FACILITY, EQUIPMENT & CAPABILITIES
The company operates a facility that supports its manufacturing processes, although specific details about the equipment are not provided.
EMPLOYEES, REVENUE & GROWTH
Wepco Plastics places a strong emphasis on employee development, participating in programs that enhance skills and provide growth opportunities.
OPERATIONAL / STRATEGIC NOTES
The company is involved in strategic initiatives to enhance workforce skills and community involvement, reflecting its commitment to sustainable business practices.",GPT-5.1,"Ownership ; ""Family-owned (News: https://nationalfund.org/frontline-forward/wepco-plastics/)"", 2023
Family business ; ""Yes (News: https://nationalfund.org/frontline-forward/wepco-plastics/)"", 2023",
"Wepco Plastics, Inc.",https://wepcoplastics.com/,https://www.injection-molded-plastics.net/wepco-plastics-inc/,"Wepco Plastics, Inc. - Injection Molded Plastics",Not available,Injection Molded Plastics,"OVERVIEW
• Wepco Plastics, Inc. is a company specializing in injection molded plastics.
• The company is known for providing high-quality plastic products and services.
FACILITY, EQUIPMENT & CAPABILITIES
• Wepco Plastics operates a facility equipped with advanced machinery for precision plastic manufacturing.
EMPLOYEES, REVENUE & GROWTH
• The company employs a skilled workforce dedicated to producing quality products.
CUSTOMERS, INDUSTRIES & PARTNERSHIPS
• Wepco Plastics serves various industries, including medical and consumer goods.
OPERATIONAL / STRATEGIC NOTES
• The company focuses on innovation and customer satisfaction in its operations.",GPT-5.1,"Industries served ; ""medical, consumer goods (News: https://www.injection-molded-plastics.net/wepco-plastics-inc/)"", 2023
Products and services offered ; ""injection molded plastics (News: https://www.injection-molded-plastics.net/wepco-plastics-inc/)"", 2023
Equipment ; ""advanced machinery (News: https://www.injection-molded-plastics.net/wepco-plastics-inc/)"", 2023
Medical ; ""Yes (News: https://www.injection-molded-plastics.net/wepco-plastics-inc/)"", 2023",
"Westminster Tool, Inc.",http://www.westminstertool.com,https://www.westminstertool.com/2025/09/24/westminster-tool-named-2025-inductee-into-the-american-manufacturing-hall-of-fame/,Westminster Tool Named 2025 Inductee into the American Manufacturing Hall of Fame,9/24/2025,Westminster Tool,"OVERVIEW
Westminster Tool, Inc. has been named a 2025 inductee into the American Manufacturing Hall of Fame. This recognition highlights the company's contributions to the manufacturing industry and its commitment to innovation and excellence.
LEADERSHIP & OWNERSHIP
The article mentions the leadership team at Westminster Tool, emphasizing their role in achieving this honor.
FACILITY, EQUIPMENT & CAPABILITIES
The company is noted for its advanced manufacturing capabilities and state-of-the-art equipment.
OPERATIONAL / STRATEGIC NOTES
Westminster Tool's strategic focus on workforce development and continuous improvement is highlighted as a key factor in their success.",GPT-5.1,,
"Westminster Tool, Inc.",http://www.westminstertool.com,https://www.ctinsider.com/business/article/mfg-hall-fame-trumpf-ward-leonard-westminster-tool-21032854.php,Westminster Tool honored in Connecticut's Manufacturing Hall of Fame,10/15/2023,CT Insider,"OVERVIEW
- Westminster Tool, Inc. was inducted into Connecticut's Manufacturing Hall of Fame in 2023.
- The company is recognized for its innovative approaches in the precision manufacturing industry.
- Westminster Tool is noted for its commitment to workforce development and continuous improvement.
LEADERSHIP & OWNERSHIP
- The company is led by President Ray Coombs.
FACILITY, EQUIPMENT & CAPABILITIES
- Westminster Tool specializes in mold building and precision manufacturing.
EMPLOYEES, REVENUE & GROWTH
- The company has experienced significant growth due to its focus on employee development and innovation.
QUOTES
- Ray Coombs emphasized the importance of investing in people and technology to drive success.",GPT-5.1,,
