Company Name,Target Status,Public Website Homepage URL,Domain from URL,Source,Street Address,City,State,Zipcode,Phone,Industries served -- Free text,Products and services offered -- Free text,Square footage (facility),Number of employees,Estimated Revenues (200K per empl),Years of operation,Ownership,Equipment (Yasda/Makino/Kern only),CNC 3-axis,CNC 5-axis,Spares/Repairs,Family business,User Notes,Jobs,Year Evidence URL,Year Evidence Snippet,Owner Evidence URL,Source URLs,First Seen,Last Seen,Last Update,Notes (Approach/Contacts/Info)
American Tool & Engineering (ATE),CY,http://www.atemold.com,atemold.com,AMBA,102 Industrial Parkway,Greene,IA,50636,(641) 816-4921,Blow molds; thermoform; twinsheet; pressure molds,Large/deep/complex/precise molds; 5-axis machining; Faro Arm 3D scanning; mold & pattern shops,15750,,,33,Family-owned; Founders: Dennis Hobson & Jerold Taylor,,,Yes,,Yes,,,,,,http://www.atemold.com,8/26/2025 19:06,8/26/2025 19:06,8/26/2025 19:06,
"Iowa Mold & Engineering, Inc.",CY,http://www.iowamold.com,iowamold.com,AMBA,102 Industrial Parkway,Greene,IA,50636,(641) 816-4921,Automotive; consumer products; industrial manufacturing; custom plastics,Plastic injection molds; compression molds; thermoform tooling; mold design & engineering; repair & maintenance; prototype & production tooling,,,,60,Family-owned,,,,Yes,Yes,,,,,,http://www.iowamold.com,8/26/2025 19:06,8/26/2025 19:06,8/26/2025 19:06,
MSI Mold Builders,CY,http://www.msimoldbuilders.com,msimoldbuilders.com,AMBA,12300 6th St SW,Cedar Rapids,IA,52404,(319) 848-7001,Automotive; power sport; agriculture; lawn & garden; medical equipment; heavy truck; material handling; RV; construction; office furniture,Injection; structural foam; RIM; blow; gas assist; structural web molds; steel & aluminum molds (incl. limited-run aluminum),HQ 47000; SC 20000,,,54,,,,,,,,,,,,http://www.msimoldbuilders.com|http://www.msimoldbuilders.com/about|http://www.msimoldbuilders.com/capabilities|http://www.msimoldbuilders.com/capabilities-overview|http://www.msimoldbuilders.com/equipment|http://www.msimoldbuilders.com/contact,8/26/2025 19:07,8/26/2025 19:07,8/26/2025 19:07,
Summit Mold,CY,http://www.summitmold.com,summitmold.com,AMBA,4200 W Seltice Way,Post Falls,ID,83854,(208) 777-7462,Various (precision tooling),"Design (Cimatron/SolidWorks/Mastercam); CNC machining (5-axis); EDM (sinker/wire, robotics-fed); CMM inspection; project management",27000,,,28,,,Yes,,,,,,,,,http://www.summitmold.com|https://www.summitmold.com/about|https://www.summitmold.com/capabilities|https://www.summitmold.com/contact,8/26/2025 19:07,8/26/2025 19:07,8/26/2025 19:07,
AC Mold & Die Company,CY,http://www.acmold.com,acmold.com,AMBA,1450 Summit Avenue,Plano,TX,75074,(972) 423-7557,Automotive; consumer products; electronics; industrial plastics,Precision plastic injection molds; tool & die; mold design & engineering; prototype & production tooling; mold repair & maintenance,,,,49,Family-owned,,,,Yes,Yes,,,,,,http://www.acmold.com,8/26/2025 19:07,8/26/2025 19:07,8/26/2025 19:07,
A1 Tool Corporation,CY,http://www.a1toolcorp.com,a1toolcorp.com,AMBA,1425 Armitage Ave,Melrose Park,IL,60160,(708) 345-5000,Custom injection molds; stack molds; 2-shot molds; OEM cradle-to-grave,Design & engineering; SET (domestic quality + intl cost); mold sampling (90T–3000T); OEM services,,,,79,,,,,,,,CNC Machinist; Machinist; Mold Maker; Openings listed,,,,http://www.a1toolcorp.com|https://www.a1toolcorp.com/about|https://www.a1toolcorp.com/careers|https://www.a1toolcorp.com/contact,8/26/2025 19:07,8/26/2025 19:07,8/26/2025 19:07,
Alchemy Precision,CY,http://www.alchemyprecision.com,alchemyprecision.com,AMBA,25 Western Industrial Drive,Cranston,RI,2921,(401) 946-5200,Medical devices; consumer products; electronics; automotive components,Precision plastic injection mold design & build; tight-tolerance tooling; complex multi-cavity & insert molds; mold repair/maintenance/engineering changes; CNC machining; EDM,,,,28,Privately owned,,Yes,,Yes,,,,,,,http://www.alchemyprecision.com,8/26/2025 19:08,8/26/2025 19:08,8/26/2025 19:08,
Angle Tool Works Inc.,,http://www.angletoolworks.com,angletoolworks.com,AMBA,,,,,,Plastics industry (general),ISO 9001:2015; state-of-the-art tooling; craftsmanship+innovation; trade shows (Pack Expo 2025),,,,64,Family-owned,,,,,Yes,,,,,,http://www.angletoolworks.com,8/26/2025 19:08,8/26/2025 19:08,8/26/2025 19:08,
Armin Tool & Manufacturing Co.,,http://www.armin-ind.com,armin-ind.com,AMBA,1500 N La Fox St.,South Elgin,IL,60177,(847) 742-1864,Caps & closures; medical; packaging,Injection mold design & manufacturing; repair; production mold sampling; apprenticeship program,,,,,Family-owned (3rd generation),,,,Yes,Yes,,Engineer; Machinist; Mold Maker,,,,http://www.armin-ind.com|http://www.armin-ind.com/about-armin-tool/|http://www.armin-ind.com/careers-atarmin-tool/|http://www.armin-ind.com/contact/,8/26/2025 19:08,8/26/2025 19:08,8/26/2025 19:08,
BA Die Mold,,http://www.badassmolds.com,badassmolds.com,AMBA,3685 Prairie Lake Court,Aurora,IL,60504,(630) 978-4747,Medical & dental; water filtration & plumbing; consumer; caps/closures & packaging; agriculture; lighting,Unscrewing & multi-action tooling; PERC™ electric rotating core; part design; solid modeling; mold design; prototype molds; sampling; first article inspections; short-run/pilot production; repairs/maintenance/ECs,,,,57,,,,Yes,Yes,Yes,,,,,,http://www.badassmolds.com|http://www.badassmolds.com/about-us/|http://www.badassmolds.com/services/|http://www.badassmolds.com/contact/,8/26/2025 19:08,8/26/2025 19:08,8/26/2025 19:08,
Chicago Mold Engineering,,http://www.chicagomold.com,chicagomold.com,AMBA,615 Stetson Ave.,St. Charles,IL,60174,(630) 584-1311,Automotive; appliances; building supplies; housewares; lawn & garden; sporting goods,Injection & compression molds (thermoset/thermoplastic); multi-shot; stack molds; engineering & CAD; gun drilling; CNC; EDM; 5-axis; polishing; ATOS/Blue Light; CMM; reverse engineering; sampling/validation/short-run; maintenance/refurbishment/troubleshooting,,,,81,,,,Yes,Yes,Yes,,,,,,http://www.chicagomold.com|http://www.chicagomold.com/services.asp|http://www.chicagomold.com/industries-served.asp|http://www.chicagomold.com/about-chicago-mold-engineering.asp|http://www.chicagomold.com/contact-chicago-mold-engineering.asp,8/26/2025 19:09,8/26/2025 19:09,8/26/2025 19:09,
Comet Die & Engraving Company,,http://www.cometdie.com,cometdie.com,AMBA,909 North Larch Avenue,Elmhurst,IL,60126,(630) 833-5600,Plastic injection industry (general),New mold construction; mold repair & revisions; texturing; contract machining; gun drilling,45000,60,,,Family-owned (4th generation leadership: T.J. & Michael Donlin),,,,Yes,Yes,,,,,,http://www.cometdie.com,8/26/2025 19:09,8/26/2025 19:09,8/26/2025 19:09,
Craftsman Tool & Mold,,http://www.craftsmanmold.com,craftsmanmold.com,AMBA,2750 Church Road,Aurora,IL,60502-9706,(630) 851-8700,Plastics; aerospace; medical; oil & gas; defense,Custom mold bases; stack/spin stack/multi-cavity bases; gun drilling; CNC machining; grinding; CAD/CAM integration; laser calibration/metrology,40000,,,60,,,,,,,,CNC Machinist; Machinist; OPERATOR; Openings listed,,,,http://www.craftsmanmold.com|http://www.craftsmanmold.com/about-us|http://www.craftsmanmold.com/about-us/quality-by-design|http://www.craftsmanmold.com/about-us/50th-anniversary|http://www.craftsmanmold.com/about-us/50th-anniversary/50th-anniversary-open-house|http://www.craftsmanmold.com/about-us/50th-anniversary/50th-anniversary-party|http://www.craftsmanmold.com/about-us/50th-anniversary/50th-anniversary-party-2|http://www.craftsmanmold.com/contact-us|http://www.craftsmanmold.com/contact-us/careers|http://www.craftsmanmold.com/contact-us/map-directions|http://www.craftsmanmold.com/contact-us/travel-info,8/26/2025 19:09,8/26/2025 19:09,8/26/2025 19:09,
Creative Die Mold Corp.,,http://www.creativediemold.com,creativediemold.com,AMBA,425 Windy Point Drive,Glendale Heights,IL,60139,(630) 790-9731,Plastic injection molds (general),Mold fabrication; precision machining; tooling automation; local delivery & nationwide service,26000,,,47,Family-owned,,,,Yes,Yes,,,,,,http://www.creativediemold.com|http://www.creativediemold.com/equipment#machining,8/26/2025 19:10,8/26/2025 19:10,8/26/2025 19:10,
DEMGY Group,,http://www.demgy.com,demgy.com,AMBA,,,,,,Aerospace; automotive; medical; defense; energy; sports & leisure,Sustainable plastics & composites; Multiplasturgy®; additive manufacturing; plastronics; injection molding; thermoforming; compression molding; polymer machining; metallization/coating/painting; composites; assembly,,,,,,,,,,,,,,,,http://www.demgy.com|https://www.demgy.com/en/contact-us|https://www.demgy.com/en/contactez-nous|https://www.demgy.com/en/datacomp/contact-us|https://www.demgy.com/en/atelier-3d/contact-us,8/26/2025 19:10,8/26/2025 19:10,8/26/2025 19:10,
Elba Tool & Die,,http://www.elbatool.com,elbatool.com,AMBA,Bloomingdale,IL,60108,(847) 895-4100,Automotive; aerospace; agriculture; medical; consumer & electrical; defense; heavy equipment; energy,Precision machining; die-cast dies; plastic injection molds; tool repair & maintenance; 5-axis CNC; EDM; value engineering; QC & inspection,,,,,,,,Yes,Yes,,,,,,,,http://www.elbatool.com,8/26/2025 19:10,8/26/2025 19:10,8/26/2025 19:10,
Electroform Company,,http://www.injectionmoldmaking.com,injectionmoldmaking.com,AMBA,11070 Raleigh Ct.,Rockford,IL,61115,(815) 633-1113,Packaging; medical; automotive; consumer; electronics,"Injection molds; automation; molding services; high-cavitation tooling; stack & multi-shot molds; insert molding; in-mold assembly & decorating; R&D (multi-shot, IML, decorating, assembly)",43000,,,37,,,,,,,,Mold Maker; Operator,,,,http://www.injectionmoldmaking.com|http://www.injectionmoldmaking.com/careers.php|http://www.injectionmoldmaking.com/contactus.php|http://www.injectionmoldmaking.com/contactus.htm,8/26/2025 19:11,8/26/2025 19:11,8/26/2025 19:11,
Foreman Tool & Mold,,http://www.foremantool.com,foremantool.com,AMBA,,,,,,Automotive (decorative interior & functional); industrial components,"Custom mold building; injection molding (22 presses, 28–500T); 3D CAD; Delcam/Mastercam; CNC; wire & sinker EDM; 7-axis machining; high cavitation complex molds (single, two-shot, insert, robot transfer); pad printing; assembly; hot runner technology",63000,,,41,Family-owned and operated,,,,,Yes,,,,,,http://www.foremantool.com|http://www.foremantool.com/capabilities|http://www.foremantool.com/capabilities/engineering|http://www.foremantool.com/capabilities/tooling|http://www.foremantool.com/capabilities/materials|http://www.foremantool.com/capabilities/quality-assurance|http://www.foremantool.com/capabilities/molding|http://www.foremantool.com/industries|http://www.foremantool.com/industries/automotive-decorative|http://www.foremantool.com/industries/industrial-components|http://www.foremantool.com/industries/automotive-functional|http://www.foremantool.com/about,8/26/2025 19:11,8/26/2025 19:11,8/26/2025 19:11,
Helm Tool Company,,http://www.helmtool.com,helmtool.com,AMBA,1420 Wright Blvd,Schaumburg,IL,60193,(847) 364-0855,Various incl. high-cavitation tools (national reputation),5-axis & high-speed milling; sink & wire EDM; grinding; mill-turn; waterjet; large-capacity machining; CMM inspection; prototyping; mold tryout; high-volume production,92000,,,48,,,,,Yes,,,engineer; machinist,,,,http://www.helmtool.com|https://www.helmtool.com/about|https://www.helmtool.com/services|https://www.helmtool.com/capabilities|https://www.helmtool.com/careers|https://www.helmtool.com/contact,8/26/2025 19:12,8/26/2025 19:12,8/26/2025 19:12,
Industrial Molds (Division of Pyramid Molding Group),,http://www.industrialmolds.com,industrialmolds.com,AMBA,5175 27th Avenue,Rockford,IL,61109,(815) 397-2971,Automotive; medical; appliance; industrial; electronics; packaging; recreational/lawn & garden,"ISO 9001; complex mold design; high-speed machining; in-house sampling; multi-shot & insert mold manufacturing; die cast & gas assist molding; large tools to 1,500T; repair & service",,,,,,,,,Yes,,,Engineer; Mold Maker,,,,http://www.industrialmolds.com|http://www.industrialmolds.com/careers|http://www.industrialmolds.com/contact,8/26/2025 19:12,8/26/2025 19:12,8/26/2025 19:12,
Janler Corporation,,http://www.janler.com,janler.com,AMBA,6545 N. Avondale Ave.,Chicago,IL,60631,(773) 774-0166,Medical; packaging; consumer products,"Engineering design; mold design/build; injection molding (35–500T, multi-shot, insert molding, IMD); testing/sampling/qualification; post-molding & assembly; ISO 9001:2015",,,,73,Family-owned,,,,,Yes,,,,,,http://www.janler.com|http://www.janler.com/about-us/|http://www.janler.com/contact,8/26/2025 19:12,8/26/2025 19:12,8/26/2025 19:12,
"M&M Tooling, Inc.",,http://www.mmtooling.com,mmtooling.com,AMBA,395 E. Potter,Wood Dale,IL,60191,(630) 595-8834,Mold base manufacturing (general),"Custom mold bases (35"" x 80""); Mazak CNC machining centers; precision/tight tolerances; associations (AMBA, TMA, etc.)",,,,,,,,,,,,,,,,http://www.mmtooling.com,8/26/2025 19:13,8/26/2025 19:13,8/26/2025 19:13,
Mako Mold Corp.,,http://www.makomold.com,makomold.com,AMBA,3820 Ohio Avenue - Unit 7,St. Charles,IL,60174,(630) 377-9010,Agriculture; automotive; appliance; consumer products; electronics; industrial; medical,"Injection mold manufacture; service; maintenance; refurbishment; CNC machining; wire & sinker EDM; grinding; lathes; CAD/CAM (Mastercam, SolidWorks, KeyCreator); laser engraving; inspection & metrology",,,,56,Family-owned and operated,,,,Yes,Yes,,,,,,http://www.makomold.com|https://www.makomold.com/equipmentlist|https://www.makomold.com/contactus,8/26/2025 19:13,8/26/2025 19:13,8/26/2025 19:13,
Matrix Plastic Products,,http://www.matrixplastic.com,matrixplastic.com,AMBA,949 A.E.C. Drive,Wood Dale,IL,60191,(630) 595-6144,Medical devices; electronics; safety-critical parts,"DFM (SolidWorks, Siemens NX); moldmaking (Class 101 production tools; micro & multi-component parts); injection molding (20–300T; cleanroom molding); inspection (CMM, OGP); development tooling; transfer/takeover tooling; prototyping (3D printing)",,,,47,,,,,,,,,,,,http://www.matrixplastic.com|http://www.matrixplastic.com/contact-us/request-a-quote|http://www.matrixplastic.com/services|http://www.matrixplastic.com/services/engineering-dfm|http://www.matrixplastic.com/services/moldmaking|http://www.matrixplastic.com/services/injection-molding-solving-problems-reducing-cycle-time-and-improving-yield|http://www.matrixplastic.com/services/inspection|http://www.matrixplastic.com/services/custom-manufacturing|http://www.matrixplastic.com/about-us|http://www.matrixplastic.com/about-us/our-history|http://www.matrixplastic.com/about-us/management-team|http://www.matrixplastic.com/about-us/matrix-in-the-news,8/26/2025 19:13,8/26/2025 19:13,8/26/2025 19:13,
"Pelco Tool & Mold, Inc.",,http://www.pelcotoolinc.com,pelcotoolinc.com,AMBA,181 Exchange Blvd.,Glendale Heights,IL,60139,(630) 871-1010,Electronics; automotive; closures; cosmetics; appliances,"New mold construction & conversions; preventive maintenance & repair; CNC; EDM; 5-axis machining; grinding; laser welding; design (Pro-E, SolidWorks, AutoCAD); documentation & reverse engineering",21000,35,7000000,60,Family-run (acquired 1991; 35 employees; $13M+ sales),,,Yes,Yes,Yes,,,,,,http://www.pelcotoolinc.com|http://www.pelcotoolinc.com/about|http://www.pelcotoolinc.com/services|http://www.pelcotoolinc.com/services/engineering|http://www.pelcotoolinc.com/services/repairs|http://www.pelcotoolinc.com/services/conversions-revisions|http://www.pelcotoolinc.com/services/preventive-maintenance|http://www.pelcotoolinc.com/facility|http://www.pelcotoolinc.com/contact,8/26/2025 19:14,8/26/2025 19:14,8/26/2025 19:14,
PM Mold,,http://www.pmmold.com,pmmold.com,AMBA,800 Estes Ave.,Schaumburg,IL,60193,(847) 923-5400,Medical devices; consumer packaging; automotive; electronics; global supply,"Full-service: product development & engineering; moldmaking (prototypes to 20,000 lb tools); injection molding (28–500T; IMD); rapid prototyping (3D printing); maintenance & secondary operations",43000,,,62,,,,,Yes,,,Openings listed,,,,http://www.pmmold.com|https://www.pmmold.com/contact|https://www.pmmold.com/about|https://www.pmmold.com/careers,8/26/2025 19:14,8/26/2025 19:14,8/26/2025 19:14,
Sullivan Tool & Repair Inc.,,http://www.sullivantool.net,sullivantool.net,AMBA,370 Brook St.,Elgin,IL,60120,(224) 856-5867,Injection mold repair & maintenance (general),Mold repair & revisions; engineering changes; welding & micro laser welding; laser engraving; preventive maintenance,,,,,,,,,Yes,,,,,,,http://www.sullivantool.net,8/26/2025 19:15,8/26/2025 19:15,8/26/2025 19:15,
Tri-Par Die and Mold Corporation,,http://www.tri-par.com,tri-par.com,AMBA,670 Sundown Rd,South Elgin,IL,60177,(630) 232-8800,Automotive; medical; electronics; water purification & filtration; consumer products,"Precision injection molding; contract manufacturing (assembly, packaging, distribution); precision tooling (design, build, maintenance, repair); proactive mold maintenance; appearance parts with complex geometry",58000,,,65,Family-owned,,,,Yes,Yes,,Machinist; Mold Maker,,,,http://www.tri-par.com|https://www.tri-par.com/about-us/|https://www.tri-par.com/contact-us/|https://www.tri-par.com/careers/|https://www.tri-par.com/markets-served/|http://www.tri-par.com/about-us/|http://www.tri-par.com/contact-us/|http://www.tri-par.com/careers/,8/26/2025 19:15,8/26/2025 19:15,8/26/2025 19:15,
B&D Manufacturing,,http://www.bdmfgmolds.com,bdmfgmolds.com,AMBA,2100 E Carter St,Kokomo,IN,46901,(765) 452-2761,Automotive; electronics; medical; plumbing; toys,Prototype & multi-cavity tooling; high-precision injection molds; compression-transfer molds; slides; two-shot; stripper plate; unscrewing; insert molds; hot manifolds; repair & maintenance; die-cast molds; jigs & fixtures; engineering-grade plastics; plating; mold texturing,,,,58,Family-owned,Makino,,,Yes,Yes,,,,,,http://www.bdmfgmolds.com|http://www.bdmfgmolds.com/about.html|http://www.bdmfgmolds.com/services.html|http://www.bdmfgmolds.com/contact.html,8/26/2025 19:15,8/26/2025 19:15,8/26/2025 19:15,
"Superior Plastics & Manufacturing (SPC Mfg., Inc.)",,http://www.spcmfg.com,spcmfg.com,AMBA,2600 Airport Road,Waterford,MI,48327,(248) 673-6900,Automotive; medical devices; consumer products; electronics; industrial components,"Full-service plastic injection molding; prototype & production tooling; secondary ops (pad printing, ultrasonic welding, assembly); engineering support; mold repair services; ISO 9001:2015",,,,,Family-owned (privately owned),,,,Yes,Yes,,,,,,http://www.spcmfg.com,8/26/2025 19:15,8/26/2025 19:15,8/26/2025 19:15,
"Decatur Mold Tool & Engineering, Inc.",,http://www.decaturmold.com,decaturmold.com,AMBA,3330 North State Highway 7,North Vernon,IN,47265,(812) 346-5188,Appliance; automotive; consumer; container; electronics; packaging; juvenile; medical; military (ITAR); building/construction,Production & prototype molds; MUD/bridge tools; repair; ECs; reverse engineering; custom machining incl. 3/5-axis CNC; sinker/wire EDM; gun drilling; grinding; polishing; heat treat; TIG/laser welding; sampling & low-volume molding; logistics,100000,,,,,,Yes,Yes,Yes,,,,,,,http://www.decaturmold.com|http://www.decaturmold.com/services|http://www.decaturmold.com/services-production-molds|http://www.decaturmold.com/services-prototype-molds|http://www.decaturmold.com/services-custom-machining|http://www.decaturmold.com/about-us|http://www.decaturmold.com/careers|http://www.decaturmold.com/contact-us,8/26/2025 19:16,8/26/2025 19:16,8/26/2025 19:16,
Lorentson Manufacturing,,http://www.lorentson.com,lorentson.com,AMBA,"1111 Rank Parkway, PO Box 932",Kokomo,IN,46903-0932,(765) 452-4425,Automotive (IATF production); various,Privately held family- & woman-owned; full in-house maintenance for life of tool; single-digit PPMs,,,,76,Family- & woman-owned,,,,Yes,Yes,,,,,,http://www.lorentson.com|http://www.lorentson.com/about-us.html|http://www.lorentson.com/contact.html,8/26/2025 19:16,8/26/2025 19:16,8/26/2025 19:16,
Michiana Global Mold (MG Mold),,http://www.mgmold.net,mgmold.net,AMBA,1702 East 7th Street,Mishawaka,IN,46544,(574) 259-6262,Various (complex plastic injection),Design & build complex molds; production molding; turnkey support; offshore tooling options (ISO 9001:2008 Shenzhen),,,,,,,,,,,,,,,,http://www.mgmold.net,8/26/2025 19:16,8/26/2025 19:16,8/26/2025 19:16,
North American Lighting (Koito Group),,http://www.nal.com,nal.com,AMBA,,,,,,Automotive lighting (Tier-1),Lighting systems design & manufacturing; multiple US plants; technical center; kaizen focus on safety,,,,,,,,,,,,,,,,http://www.nal.com,8/26/2025 19:16,8/26/2025 19:16,8/26/2025 19:16,
