Company Name,Target Status,Public Website Homepage URL,Domain from URL,Source,Street Address,City,State,Zipcode,Phone,Industries served,Products and services offered,Square footage (facility),Number of employees,Estimated Revenues,Years of operation,Ownership,Equipment,CNC 3-axis,CNC 5-axis,Spares/ Repairs,Family business,2nd Address,Notes (Approach/ Contacts/Info)
Ameritech Die & Mold,CY,https://www.amdiemold.com/,amdiemold.com,AMBA,107 Knob Hill Road,Mooresville,NC,28117,(704) 664-0801,Automotive; safety; appliance; consumer goods,Engineering; project management; new mold builds; engineering changes; mold repairs; 5-axis machining; CNC EDM (wire); horizontal machining; gun drilling; welding; mold sampling,,,,40,,,,Yes,Yes,,,
Carson Tool & Mold,CY,http://www.carsonmold.com,carsonmold.com,AMBA,3070 Moon Station Road,Kennesaw,GA,30144,(770) 427-3716,Various incl. automotive/consumer/industrial,"Design & engineering; manufacturing; quality control; maintenance & repair; qualification testing (120T, 400T presses)",24000,,,80,"Family-owned (Owner/President: Chris Carson, 3rd generation)",,,,Yes,Yes,,
American Tool & Engineering (ATE),CY,http://www.atemold.com,atemold.com,AMBA,102 Industrial Parkway,Greene,IA,50636,(641) 816-4921,Blow molds; thermoform; twinsheet; pressure molds,Large/deep/complex/precise molds; 5-axis machining; Faro Arm 3D scanning; mold & pattern shops,15750,,,33,Family-owned; Founders: Dennis Hobson & Jerold Taylor,,,Yes,,Yes,,
"Iowa Mold & Engineering, Inc.",CY,http://www.iowamold.com,iowamold.com,AMBA,102 Industrial Parkway,Greene,IA,50636,(641) 816-4921,Automotive; consumer products; industrial manufacturing; custom plastics,Plastic injection molds; compression molds; thermoform tooling; mold design & engineering; repair & maintenance; prototype & production tooling,,,,60,Family-owned,,,,Yes,Yes,,Test Iowa Note
MSI Mold Builders,CY,http://www.msimoldbuilders.com,msimoldbuilders.com,AMBA,12300 6th St SW,Cedar Rapids,IA,52404,(319) 848-7001,Automotive; power sport; agriculture; lawn & garden; medical equipment; heavy truck; material handling; RV; construction; office furniture,Injection; structural foam; RIM; blow; gas assist; structural web molds; steel & aluminum molds (incl. limited-run aluminum),HQ 47000; SC 20000,,,54,,,,,,,,MSI test note #1
Summit Mold,CY,http://www.summitmold.com,summitmold.com,AMBA,4200 W Seltice Way,Post Falls,ID,83854,(208) 777-7462,Various (precision tooling),"Design (Cimatron/SolidWorks/Mastercam); CNC machining (5-axis); EDM (sinker/wire, robotics-fed); CMM inspection; project management",27000,,,28,,,Yes,,,,,Test note for Summit
AC Mold & Die Company,CY,http://www.acmold.com,acmold.com,AMBA,1450 Summit Avenue,Plano,TX,75074,(972) 423-7557,Automotive; consumer products; electronics; industrial plastics,Precision plastic injection molds; tool & die; mold design & engineering; prototype & production tooling; mold repair & maintenance,,,,49,Family-owned,,,,Yes,Yes,,
A1 Tool Corporation,CY,http://www.a1toolcorp.com,a1toolcorp.com,AMBA,1425 Armitage Ave,Melrose Park,IL,60160,(708) 345-5000,Custom injection molds; stack molds; 2-shot molds; OEM cradle-to-grave,Design & engineering; SET (domestic quality + intl cost); mold sampling (90T–3000T); OEM services,,,,79,,,,,,,,
Alchemy Precision,CY,http://www.alchemyprecision.com,alchemyprecision.com,AMBA,25 Western Industrial Drive,Cranston,RI,2921,(401) 946-5200,Medical devices; consumer products; electronics; automotive components,Precision plastic injection mold design & build; tight-tolerance tooling; complex multi-cavity & insert molds; mold repair/maintenance/engineering changes; CNC machining; EDM,,,,28,Privately owned,,Yes,,Yes,,,
Angle Tool Works Inc.,CY,http://www.angletoolworks.com,angletoolworks.com,AMBA,102 Industrial Parkway,Greene,IA,50636,(641) 816-4921,Plastics industry (general),ISO 9001:2015; state-of-the-art tooling; craftsmanship+innovation; trade shows (Pack Expo 2025),,,,64,Family-owned,,,,,Yes,,
Armin Tool & Manufacturing Co.,CY,http://www.armin-ind.com,armin-ind.com,AMBA,1500 N La Fox St.,South Elgin,IL,60177,(847) 742-1864,Caps & closures; medical; packaging,Injection mold design & manufacturing; repair; production mold sampling; apprenticeship program,,,,,Family-owned (3rd generation),,,,Yes,Yes,,
BA Die Mold,CY,http://www.badassmolds.com,badassmolds.com,AMBA,3685 Prairie Lake Court,Aurora,IL,60504,(630) 978-4747,Medical & dental; water filtration & plumbing; consumer; caps/closures & packaging; agriculture; lighting,Unscrewing & multi-action tooling; PERC™ electric rotating core; part design; solid modeling; mold design; prototype molds; sampling; first article inspections; short-run/pilot production; repairs/maintenance/ECs,,,,57,,,,Yes,Yes,Yes,,
Chicago Mold Engineering,CY,http://www.chicagomold.com,chicagomold.com,AMBA,615 Stetson Ave.,St. Charles,IL,60174,(630) 584-1311,Automotive; appliances; building supplies; housewares; lawn & garden; sporting goods,Injection & compression molds (thermoset/thermoplastic); multi-shot; stack molds; engineering & CAD; gun drilling; CNC; EDM; 5-axis; polishing; ATOS/Blue Light; CMM; reverse engineering; sampling/validation/short-run; maintenance/refurbishment/troubleshooting,,,,81,,,,Yes,Yes,Yes,,
Comet Die & Engraving Company,CY,http://www.cometdie.com,cometdie.com,AMBA,909 North Larch Avenue,Elmhurst,IL,60126,(630) 833-5600,Plastic injection industry (general),New mold construction; mold repair & revisions; texturing; contract machining; gun drilling,45000,60,,,Family-owned (4th generation leadership: T.J. & Michael Donlin),,,,Yes,Yes,,
Craftsman Tool & Mold,CY,http://www.craftsmanmold.com,craftsmanmold.com,AMBA,2750 Church Road,Aurora,IL,60502-9706,(630) 851-8700,Plastics; aerospace; medical; oil & gas; defense,Custom mold bases; stack/spin stack/multi-cavity bases; gun drilling; CNC machining; grinding; CAD/CAM integration; laser calibration/metrology,40000,,,60,,,,,,,,
Creative Die Mold Corp.,CY,http://www.creativediemold.com,creativediemold.com,AMBA,425 Windy Point Drive,Glendale Heights,IL,60139,(630) 790-9731,Plastic injection molds (general),Mold fabrication; precision machining; tooling automation; local delivery & nationwide service,26000,,,47,Family-owned,,,,Yes,Yes,,
DEMGY Group,C?,http://www.demgy.com,demgy.com,AMBA,27502 Pont-Audemer Cedex,,BP,70033,,Aerospace; automotive; medical; defense; energy; sports & leisure,Sustainable plastics & composites; Multiplasturgy®; additive manufacturing; plastronics; injection molding; thermoforming; compression molding; polymer machining; metallization/coating/painting; composites; assembly,,,,,,,,,,,outside of scope,
Elba Tool & Die,CY,http://www.elbatool.com,elbatool.com,AMBA,220 Covington Dr,Bloomingdale,IL,60108,(847) 895-4100,Automotive; aerospace; agriculture; medical; consumer & electrical; defense; heavy equipment; energy Precision machining; die-cast dies; plastic injection molds; tool repair & maintenance; 5-axis CNC; EDM; value engineering; QC & inspection,,,,,,,,Yes,Yes,,,,
Electroform Company,CY,http://www.injectionmoldmaking.com,injectionmoldmaking.com,AMBA,11070 Raleigh Ct.,Rockford,IL,61115,(815) 633-1113,Packaging; medical; automotive; consumer; electronics,"Injection molds; automation; molding services; high-cavitation tooling; stack & multi-shot molds; insert molding; in-mold assembly & decorating; R&D (multi-shot, IML, decorating, assembly)",43000,,,37,,,,,,,,
Foreman Tool & Mold,CY,http://www.foremantool.com,foremantool.com,AMBA,2605 N. 29th Avenue,Hollywood,FL,33020,(954) 925-2127,Automotive (decorative interior & functional); industrial components,"Custom mold building; injection molding (22 presses, 28–500T); 3D CAD; Delcam/Mastercam; CNC; wire & sinker EDM; 7-axis machining; high cavitation complex molds (single, two-shot, insert, robot transfer); pad printing; assembly; hot runner technology",63000,,,41,Family-owned and operated,,,,,Yes,,
Helm Tool Company,CY,http://www.helmtool.com,helmtool.com,AMBA,1420 Wright Blvd,Schaumburg,IL,60193,(847) 364-0855,Various incl. high-cavitation tools (national reputation),5-axis & high-speed milling; sink & wire EDM; grinding; mill-turn; waterjet; large-capacity machining; CMM inspection; prototyping; mold tryout; high-volume production,92000,,,48,,,,,Yes,,,
Industrial Molds (Division of Pyramid Molding Group),CY,http://www.industrialmolds.com,industrialmolds.com,AMBA,5175 27th Avenue,Rockford,IL,61109,(815) 397-2971,Automotive; medical; appliance; industrial; electronics; packaging; recreational/lawn & garden,"ISO 9001; complex mold design; high-speed machining; in-house sampling; multi-shot & insert mold manufacturing; die cast & gas assist molding; large tools to 1,500T; repair & service",,,,,,,,,Yes,,,
Janler Corporation,CY,http://www.janler.com,janler.com,AMBA,6545 N. Avondale Ave.,Chicago,IL,60631,(773) 774-0166,Medical; packaging; consumer products,"Engineering design; mold design/build; injection molding (35–500T, multi-shot, insert molding, IMD); testing/sampling/qualification; post-molding & assembly; ISO 9001:2015",,,,73,Family-owned,,,,,Yes,,
"M&M Tooling, Inc.",CY,http://www.mmtooling.com,mmtooling.com,AMBA,395 E. Potter,Wood Dale,IL,60191,(630) 595-8834,Mold base manufacturing (general),"Custom mold bases (35"" x 80""); Mazak CNC machining centers; precision/tight tolerances; associations (AMBA, TMA, etc.)",,,,,,,,,,,,
Mako Mold Corp.,CY,http://www.makomold.com,makomold.com,AMBA,3820 Ohio Avenue - Unit 7,St. Charles,IL,60174,(630) 377-9010,Agriculture; automotive; appliance; consumer products; electronics; industrial; medical,"Injection mold manufacture; service; maintenance; refurbishment; CNC machining; wire & sinker EDM; grinding; lathes; CAD/CAM (Mastercam, SolidWorks, KeyCreator); laser engraving; inspection & metrology",,,,56,Family-owned and operated,,,,Yes,Yes,,
Matrix Plastic Products,CY,http://www.matrixplastic.com,matrixplastic.com,AMBA,949 A.E.C. Drive,Wood Dale,IL,60191,(630) 595-6144,Medical devices; electronics; safety-critical parts,"DFM (SolidWorks, Siemens NX); moldmaking (Class 101 production tools; micro & multi-component parts); injection molding (20–300T; cleanroom molding); inspection (CMM, OGP); development tooling; transfer/takeover tooling; prototyping (3D printing)",,,,47,,,,,,,,
"Pelco Tool & Mold, Inc.",CY,http://www.pelcotoolinc.com,pelcotoolinc.com,AMBA,181 Exchange Blvd.,Glendale Heights,IL,60139,(630) 871-1010,Electronics; automotive; closures; cosmetics; appliances,"New mold construction & conversions; preventive maintenance & repair; CNC; EDM; 5-axis machining; grinding; laser welding; design (Pro-E, SolidWorks, AutoCAD); documentation & reverse engineering",21000,35,7000000,60,Family-run (acquired 1991; 35 employees; $13M+ sales),,,Yes,Yes,Yes,,
PM Mold,CN,http://www.pmmold.com,pmmold.com,AMBA,800 Estes Ave.,Schaumburg,IL,60193,(847) 923-5400,Medical devices; consumer packaging; automotive; electronics; global supply,"Full-service: product development & engineering; moldmaking (prototypes to 20,000 lb tools); injection molding (28–500T; IMD); rapid prototyping (3D printing); maintenance & secondary operations",43000,,,62,,,,,Yes,,,
Sullivan Tool & Repair Inc.,CY,http://www.sullivantool.net,sullivantool.net,AMBA,370 Brook St.,Elgin,IL,60120,(224) 856-5867,Injection mold repair & maintenance (general),Mold repair & revisions; engineering changes; welding & micro laser welding; laser engraving; preventive maintenance,,,,,,,,,Yes,,,
Tri-Par Die and Mold Corporation,CN,http://www.tri-par.com,tri-par.com,AMBA,670 Sundown Rd,South Elgin,IL,60177,(630) 232-8800,Automotive; medical; electronics; water purification & filtration; consumer products,"Precision injection molding; contract manufacturing (assembly, packaging, distribution); precision tooling (design, build, maintenance, repair); proactive mold maintenance; appearance parts with complex geometry",58000,,,65,Family-owned,,,,Yes,Yes,,
B&D Manufacturing,CY,http://www.bdmfgmolds.com,bdmfgmolds.com,AMBA,2100 E Carter St,Kokomo,IN,46901,(765) 452-2761,Automotive; electronics; medical; plumbing; toys,Prototype & multi-cavity tooling; high-precision injection molds; compression-transfer molds; slides; two-shot; stripper plate; unscrewing; insert molds; hot manifolds; repair & maintenance; die-cast molds; jigs & fixtures; engineering-grade plastics; plating; mold texturing,,,,58,Family-owned,Makino,,,Yes,Yes,,
"Superior Plastics & Manufacturing (SPC Mfg., Inc.)",CY,http://www.spcmfg.com,spcmfg.com,AMBA,2600 Airport Road,Waterford,MI,48327,(248) 673-6900,Automotive; medical devices; consumer products; electronics; industrial components,"Full-service plastic injection molding; prototype & production tooling; secondary ops (pad printing, ultrasonic welding, assembly); engineering support; mold repair services; ISO 9001:2015",,,,,Family-owned (privately owned),,,,Yes,Yes,,
"Decatur Mold Tool & Engineering, Inc.",CY,http://www.decaturmold.com,decaturmold.com,AMBA,3330 North State Highway 7,North Vernon,IN,47265,(812) 346-5188,Appliance; automotive; consumer; container; electronics; packaging; juvenile; medical; military (ITAR); building/construction,Production & prototype molds; MUD/bridge tools; repair; ECs; reverse engineering; custom machining incl. 3/5-axis CNC; sinker/wire EDM; gun drilling; grinding; polishing; heat treat; TIG/laser welding; sampling & low-volume molding; logistics,100000,,,,,,Yes,Yes,Yes,,,
Lorentson Manufacturing,C?,http://www.lorentson.com,lorentson.com,AMBA,"1111 Rank Parkway, PO Box 932",Kokomo,IN,46903-0932,(765) 452-4425,Automotive (IATF production); various,Privately held family- & woman-owned; full in-house maintenance for life of tool; single-digit PPMs,,,,76,Family- & woman-owned,,,,Yes,Yes,,
Michiana Global Mold (MG Mold),C?,http://www.mgmold.net,mgmold.net,AMBA,1702 East 7th Street,Mishawaka,IN,46544,(574) 259-6262,Various (complex plastic injection),Design & build complex molds; production molding; turnkey support; offshore tooling options (ISO 9001:2008 Shenzhen),,,,,,,,,,,,
North American Lighting (Koito Group),C?,http://www.nal.com,nal.com,AMBA,2275 S. Main Street,Paris,IL,61944,(217) 465-6411,Automotive lighting (Tier-1),Lighting systems design & manufacturing; multiple US plants; technical center; kaizen focus on safety,,,,,,,,,,,,
"Roembke Mfg. & Design, Inc.",CN,http://www.roembke.com,roembke.com,AMBA,1580 Baker Drive,Ossian,IN,46777,(260) 622-4135,Medical (LSR/HCR); thermoplastic,"LSR & HCR tooling/systems; FAT in-house; LSR parts to ~0.007 g; HCR compression/transfer/injection (various); thermoplastic molds; 2K (LSR-LSR; LSR-thermoplastic; overmold); proprietary Cold Deck (1–64 drops); QPS rapid iteration; turnkey cells (EOAT, robotics, training, pre-production, automation)",62000,,,48,,,,,Yes,,,
SIMCO – Southern Indiana Mold Corp.,CY,http://www.soindmoldcorp.com,soindmoldcorp.com,AMBA,"2945 N. State Highway 3, P.O. Box 119",North Vernon,IN,47265,(812) 346-2622,Plastic mold design & manufacturing (general),Professional/ethical workplace; continuous improvement; customer-focused quality,,,,,,,,,,,,
ASH Industries,CY,http://www.ashindustries.com,ashindustries.com,AMBA,1330 W. Willow St.,Lafayette,LA,70506,(337) 235-0977,Medical; defense; industrial; electronics; startups/entrepreneurs,"Plastic injection molding (35–850T); metal injection molding (MIM); Liquid Silicone Rubber (LIM/LSR) molding; rotational molding; in-house toolroom (5-axis CNC, EDM); mold validation; DFM; assembly/packaging; low-volume/bridge; mold transfer support; ISO 13485 Class 7 cleanroom; ISO 9001 compliant",,,,,,,,Yes,,,,
Prime Manufacturing Technologies,CY,http://www.primemfgtech.com,primemfgtech.com,AMBA,8735 Bollman Place,Savage,MD,20763,(301) 604-0900,Agriculture; automotive; construction; Department of Defense; technology; healthcare; telecommunication,Plastic injection molding; silicone molding; metal injection molding (MIM); CNC milling/turning; EDM; 6-axis robotic sub-assembly; composite casting (military); reverse engineering; RFID part tagging; selective 3D printing for quick-turn tooling,,,,,,,Yes,Yes,Yes,,,
"Accu-Die & Mold, Inc.",CY,http://www.accu-die.com,accu-die.com,AMBA,2410 S. Dixie Hwy,Kokomo,IN,46902,(765) 453-2300,Die casting (aluminum & magnesium),Engineering; design; construction; inspection; dies for 300–1600 ton; rapid prototypes to high-volume; high-speed machining; Wire & CNC EDM; 22 CNC machining centers; Zeiss CMM; laser welding; reverse engineering to 3D models,31000,,,34,,,Yes,Yes,Yes,,,
Baumann Tool & Die,CY,http://www.baumanntd.com,baumanntd.com,AMBA,525 East Harris Ave.,Greenville,OH,45331,(937) 548-2147,West Michigan customers (general),Prototype molding fixtures; CNC milling & turning; aluminum/Ren board urethane cast molds; inserts; automation components; low-volume molding; steel/aluminum/plastic parts,,,,30,,,Yes,,Yes,,,
Best Tool & Engineering (BTE),CY,http://www.bteplastics.com,bteplastics.com,AMBA,34730 Nova Drive,Clinton Township,MI,48035,(586) 792-4119,Various incl. automotive/industrial/consumer,Plastic injection molding; plastic vibration welding; hot plate welding (tooling & production); in-house tool/mold build; fixtures; DFM; apprenticeship & CI culture,,,,34,,,Yes,,Yes,,,
Byrne Tool + Design,CY,http://www.byrne-tool.com,byrne-tool.com,AMBA,316 Byrne Industrial Dr NE,Rockford,MI,49341,(616) 866-4479,Tool & die shop (general),Additive manufacturing; design; tooling services; rapid problem solving,,,,28,,,,,,,,
Classic Die,CY,http://www.classicdie.com,classicdie.com,AMBA,610 Plymouth NE,Grand Rapids,MI,49505,(616) 454-3760,Automotive; medical; dental; consumer,"Custom injection molds; mold repair (quick turn); custom CNC & EDM; gun drilling; mold sampling 30–700 ton; short-run production; laser welding; tools up to 10,000 lbs",,,,47,,,Yes,Yes,Yes,,,
Commercial Tool Group,CY,http://www.commercialtoolgroup.com,commercialtoolgroup.com,AMBA,5351 Rusche Dr NW,Comstock Park,MI,49321,(616) 785-8100,Automotive (interior/exterior); appliance; consumer goods; hardware; heavy truck; RV,"Injection molds (tryout 85–2,500 ton); compression molds; robotic automation cells; fixtures; tooling; gauges; vision systems; program management; feasibility & advanced engineering",,,,56,,,Yes,Yes,Yes,,,
CS Tool Engineering,CY,http://www.cste.com,cste.com,AMBA,474 East 105th Street,Cleveland,OH,44108,(800) 447-4406,Precision plastic injection molds; metal fabrication,Full mold design/build; multi-axis CNC; automated robotic CNC cell; in-house welding (incl. Inconel/aluminum); machining; finishing; metrology/CMM; digital scanning; rapid prototyping; dedicated transport fleet,,,,57,,,Yes,,Yes,,,
"Deppe Mold and Tooling, Inc.",CY,http://www.deppemold.com,deppemold.com,AMBA,2814 Franklin Ave SW,Grandville,MI,49418,(616) 530-1331,Precision moldmaking,CNC machining; EDM (wire/sinker); mold making; design; polishing; 5-axis CNC (Makino D200Z automation); Makino F9/F5/S56/V55; Toshiba boring mill; hoist; pickup & delivery,,23,4600000,28,,Makino,Yes,Yes,Yes,,,Test note for Deppe
Die-Tech & Engineering,CY,http://www.dietech-gr.com,dietech-gr.com,AMBA,4620 Herman Ave. SW,Wyoming,MI,49509,(616) 530-9030,Tooling for various industries,Design-to-build tooling; CNC machining; die casting dies; urgent response programs,,,,56,,,Yes,,Yes,,,Test note for Die-Tech
"Eifel, Inc.",CY,http://www.eifel-inc.com,eifel-inc.com,AMBA,31071 Fraser Drive,Fraser,MI,48026,(586) 296-9640,Automotive; consumer goods; electronics; RV; EV; UTV/SxS,Full-service mold design & manufacturing; production molds; rapid prototypes; die-cast tooling; studio consulting; tryout support; on-site design reviews; advanced 5-axis CNC with zero-stock machining,,,,,,,Yes,Yes,Yes,,,
Team Elite,C?,http://teameliteonline.com,teameliteonline.com,AMBA,1460 North Fork Road,Barnardsville,NC,28709,(828) 626-2286,,,Website placeholder,,,,,,,,,,,
Franchino Mold & Engineering,CY,http://www.franchino.com,franchino.com,AMBA,5599 West Grand River Avenue,Lansing,MI,48906,(517) 321-5609,Die-cast dies; plastic injection molds,"Engineering & design; contract machining; die & mold repair; tool building for 60–6,000 ton presses; medium to large tools up to 200,000 lbs",,,,70,,,Yes,Yes,Yes,,,
Artiflex Manufacturing,CN,http://www.gendie.com,gendie.com,AMBA,2354 Bellingham Dr.,Troy,MI,48083,(616) 452-0304,Automotive; advanced manufacturing,Die tooling design & manufacturing; flexible robotic automation; body-in-white tooling; prototyping; low-volume production; ISO 9001; IATF 16949; ITAR,,,,,,,Yes,,,,,
"H&S Mold, Inc.",CY,http://www.hs-mold.biz,hs-mold.biz,AMBA,3900 Linden Ave SE,Grand Rapids,MI,49735,(616) 452-0830,Injection & hydroform molds,"CAD (SolidWorks, Mastercam); full-service design/build; CNC machining; EDM; wire EDM; gun drilling; mold sampling; short-run production; repair; grinders; lathes; presses; inspection instruments",10000,,,,Family-owned,,Yes,Yes,Yes,Yes,,
Hanson International,C?,http://www.hansoninternational.com,hansoninternational.com,AMBA,3355 South Lapeer Road,Lake Orio,MI,48359,(248) 391-2200,,,Website placeholder,,,,,,,,,,,
Johnson Precision Mold & Engineering,C?,https://www.johnsonmold.com/,johnsonmold.com,AMBA,1001 Haines Blvd.,Sturgis,MI,49091,(269) 651-2553,Injection molds (various),Custom injection molds; continuous growth; advanced equipment; workforce training,,,,34,,,Yes,,,,,
Krieger Craftsmen,CY,http://www.kriegercraftsmen.com,kriegercraftsmen.com,AMBA,2758 3 Mile Rd NW,Grand Rapids,MI,49534,(616) 735-9200,Automotive lighting; high-precision tooling,"High-cavitation; fast-cycle; tight-tolerance molds; stack; two-shot; unscrewing; prototypes; CAD/CAM (VISI, WorkNC); automation & robotics",,,,27,,,Yes,Yes,Yes,,,
Legacy Precision Molds,CY,http://www.legacyprecisionmolds.com,legacyprecisionmolds.com,AMBA,3691 S. Lapeer Road,Metamora,MI,48455,(616) 532-6536,Custom injection molds,New molds; engineering changes; mold repairs; custom machining; tight tolerances to 0.0005",,,,29,,,Yes,,Yes,,,
Liberty Molds,CY,http://www.libertymolds.com,libertymolds.com,AMBA,8631 Portage Industrial Drive,Portage,MI,49024,(269) 327-0997,Automotive interiors; appliance; medical; dental; consumer goods; furniture; hydraulic; military,Close-tolerance prototype & production tooling; shuttle; two-shot; hot runner; unscrewing; stack molds; precision machining; EDM (wire/sinker); hole drilling; ECs & repair; remote tryout viewing,13400,26,5200000,39,,,Yes,Yes,Yes,,,
MC Molds,CY,http://www.mcmolds.com,mcmolds.com,AMBA,845 Progress Court,Williamston,MI,48895,(517) 655-5481,Containers; plastics,Mold design (CAD modeling); container design; mold building; repair & refurbishing; trim tooling; detabbers,,,,,,,Yes,,Yes,,,
Maximum Mold Group,CY,http://www.maximummoldgroup.com,maximummoldgroup.com,AMBA,"4659 14th Street, Detroit,",Detroit,MI,48208,(313) 894-6653,Aerospace; agriculture; automotive; defense; health; military; appliance,Die cast & plastic injection molds; thermoplastic & thermoset compression molds; precision machined components; blow molds; prototyping; engineering; design; assembly & testing,,,,28,Family-owned,,,,,,,
Clarion Technologies (Concept Molds),CY,http://www.conceptmolds.com,conceptmolds.com,AMBA,3494 Busch Drive SW,Grandville,MI,49418,(616) 698-7277,Automotive; appliance; consumer,Two-shot; multi-shot; gas-assist; applique; overmolding; insert molding; integrated glass assemblies; decoration; formed glass; pad printing; hot stamping; hydrographics; vibration & ultrasonic welding; tooling management; product development,,,,,,,Yes,,Yes,,,
Midwest Die Corporation,CY,http://www.midwestdiecorp.net,midwestdiecorp.net,AMBA,9220 1st St,Baroda,MI,49101,(269) 422-2171,Die-cast dies: aluminum; zinc; magnesium; squeeze dies; multi-slide manifolds,"DFM & prototyping; cavity replacement; repairs & revisions; high-precision CNC (13 CNCs, 2 EDMs); conformal cooling & advanced cooling circuits; climate-controlled 20,000 sq ft facility",20000,,,35,,,Yes,,Yes,,,
"Model Die & Mold, Inc.",CY,http://www.modeldie.com,modeldie.com,AMBA,3859 Roger B Chaffee Memorial Dr SE,Wyoming,MI,49548,(616) 243-6996,Aerospace (carbon fiber); automotive; heavy truck; kitchen/bath; consumer; architectural; military & defense,Compression molds; injection molds; carbon fiber molds; die-cast dies; engineering; machining; mold sampling; repair; advanced CNC (27+ centers; 5-axis; gun drilling; EDM); 65+ skilled tradesmen,,,,59,Family-owned,,Yes,Yes,Yes,Yes,,
Paragon D&E,CY,http://www.paragonde.com,paragonde.com,AMBA,5225 33rd St. SE,Grand Rapids,MI,49512,(616) 949-2220,Automotive; heavy truck; aerospace; oil & gas; recreation; nuclear energy; military & defense; agriculture,Compression; injection; hydroform molds; RTM tooling; precision machining; nuclear waste packaging; tooling repair; low-volume production; contract machining; fixture engineering; mold tryouts; prototyping,170000,,,83,,,Yes,Yes,Yes,,,
