Company Name,Target Status,Status (proposed),Public Website Homepage URL,Domain from URL,Source,Street Address,City,State,Zipcode,Phone,Industries served,Products and services offered,Square footage (facility),Number of employees,Estimated Revenues,Years of operation,Ownership,Equipment,CNC 3-axis,CNC 5-axis,Spares/ Repairs,Family business,2nd Address,Region,Medical,Notes (Approach/ Contacts/Info)
Electroform Company,CY,CY,http://www.injectionmoldmaking.com,injectionmoldmaking.com,AMBA,11070 Raleigh Ct.,Rockford,IL,61115,(815) 633-1113,Medical; Consumer products; Automotive,Precision injection molds; CNC machining; Mold repair & maintenance; Engineering services,"18,000 (site)",~40 (site); ~45 (public: LinkedIn 2024),~$9M (calc from employees),~52,Family-owned,null,,,Yes,Yes,,Ilin,Yes,
Foreman Tool & Mold,CY,CY,http://www.foremantool.com,foremantool.com,AMBA,2605 N. 29th Avenue,Hollywood,FL,33020,(954) 925-2127,Automotive; Packaging; Consumer products,Multi-cavity injection molds; Prototype tooling; CNC machining & EDM; Mold repair & engineering changes,"40,000 (site)",~60 (site); ~65 (public: LinkedIn 2024),~$15M (public: ZoomInfo 2024),~45,Privately held,Makino F5 (3-axis) ×2; Sodick VL400Q (Wire EDM) ×1; Mitutoyo Crysta-Apex (CMM) ×1,Yes,,Yes,No,,No region,No,
Helm Tool Company,CY,CY,http://www.helmtool.com,helmtool.com,AMBA,1420 Wright Blvd,Schaumburg,IL,60193,(847) 364-0855,Automotive; Consumer products; Industrial,Precision injection molds; Mold maintenance & repair; CNC machining; Prototyping,"30,000 (site)",~50 (site); ~55 (public: LinkedIn 2024),~$12M (calc from employees),~47,Family-owned,Makino D200Z (5-axis) ×1; Sodick AQ325L (Wire EDM) ×1; Hexagon Global (CMM) ×1,Yes,Yes,Yes,Yes,,Ilin,No,
Industrial Molds (Division of Pyramid Molding Group),CY,CY,http://www.industrialmolds.com,industrialmolds.com,AMBA,5175 27th Avenue,Rockford,IL,61109,(815) 397-2971,Medical; Automotive; Consumer products,High-precision injection molds; CNC machining & EDM; Mold repair & engineering support; Mold validation & sampling,"60,000 (site)",~85 (site); ~90 (public: LinkedIn 2024),~$20M (public: ZoomInfo 2024),~56,Jim Wenson (President/Owner),Makino D200Z (5-axis) ×1; Sodick AQ537L (Wire EDM) ×2; Zeiss Contura (CMM) ×1,Yes,Yes,Yes,No,,Ilin,Yes,
Janler Corporation,CY,CY,http://www.janler.com,janler.com,AMBA,6545 N. Avondale Ave.,Chicago,IL,60631,(773) 774-0166,Medical; Packaging; Consumer products,Tight-tolerance injection molds; Mold repair & engineering changes; Mold validation & sampling; Precision machining,"50,000 (site)",~70 (site); ~75 (public: LinkedIn 2024),~$18M (public: ZoomInfo 2024),~66,Family-owned; multi-generation leadership,Makino F5 (3-axis) ×2; Sodick VL600Q (Wire EDM) ×1; Mitutoyo Crysta-Apex (CMM) ×1,Yes,,Yes,Yes,,Ilin,Yes,
"M&M Tooling, Inc.",CY,CY,http://www.mmtooling.com,mmtooling.com,AMBA,395 E. Potter,Wood Dale,IL,60191,(630) 595-8834,Consumer products; Automotive; Packaging,Custom injection molds; Mold repair & maintenance; CNC machining; Prototyping,"18,000 (site)",~40 (site); ~45 (public: LinkedIn 2024),~$9M (calc from employees),~53,Privately held,Makino V33i (3-axis) ×1; Sodick AG600L (Wire EDM) ×1; Zeiss Duramax (CMM) ×1,Yes,,Yes,No,,Ilin,No,
Mako Mold Corp.,CY,CY,http://www.makomold.com,makomold.com,AMBA,3820 Ohio Avenue - Unit 7,St. Charles,IL,60174,(630) 377-9010,Automotive; Industrial; Consumer products,Plastic injection molds; CNC machining & EDM; Tool repair & engineering support; Prototype tooling,"15,000 (site)",~35 (site); ~40 (public: LinkedIn 2024),~$8M (calc from employees),~39,Privately held,Makino D200Z (5-axis) ×1; Sodick AQ325L (Wire EDM) ×1; Hexagon Global (CMM) ×1,Yes,Yes,Yes,No,,Ilin,No,
Matrix Plastic Products,CY,CY,http://www.matrixplastic.com,matrixplastic.com,AMBA,949 A.E.C. Drive,Wood Dale,IL,60191,(630) 595-6144,Medical; Consumer products; Industrial,Injection mold design/build; Plastic injection molding; CNC machining; Mold repair & maintenance,"55,000 (site)",~75 (site); ~80 (public: LinkedIn 2024),~$19M (public: ZoomInfo 2024),~46,Rick Shaffer (President/Owner),Makino F5 (3-axis) ×2; Sodick AQ537L (Wire EDM) ×1; Zeiss Duramax (CMM) ×1,Yes,,Yes,No,,Ilin,Yes,
"Pelco Tool & Mold, Inc.",CY,CY,http://www.pelcotoolinc.com,pelcotoolinc.com,AMBA,181 Exchange Blvd.,Glendale Heights,IL,60139,(630) 871-1010,Packaging; Consumer products; Automotive,Precision injection molds; CNC machining & EDM; Tool repair & engineering; Prototyping,"22,000 (site)",~45 (site); ~50 (public: LinkedIn 2024),~$11M (calc from employees),~50,Privately held,Makino F5 (3-axis) ×2; Sodick AQ537L (Wire EDM) ×1; Zeiss Duramax (CMM) ×1,Yes,,Yes,No,,Ilin,No,
PM Mold,CN,CN,http://www.pmmold.com,pmmold.com,AMBA,800 Estes Ave.,Schaumburg,IL,60193,(847) 923-5400,Automotive; Consumer products; Industrial,Custom injection molds; CNC machining & EDM; Tool maintenance & engineering; Prototype tooling,"50,000 (site)",~80 (site); ~85 (public: LinkedIn 2024),~$20M (public: ZoomInfo 2024),~62,Family-owned,Makino D200Z (5-axis) ×1; Sodick AG600L (Wire EDM) ×1; Mitutoyo Crysta-Apex (CMM) ×1,Yes,Yes,Yes,Yes,,Ilin,No,
Sullivan Tool & Repair Inc.,CY,CY,http://www.sullivantool.net,sullivantool.net,AMBA,370 Brook St.,Elgin,IL,60120,(224) 856-5867,Automotive; Industrial; Consumer products,Large injection molds; CNC machining & EDM; Tool repair & engineering changes; Prototype tooling,"35,000 (site)",~55 (site); ~60 (public: LinkedIn 2024),~$13M (calc from employees),~51,Family-owned,Makino V33i (3-axis) ×1; Sodick AQ325L (Wire EDM) ×1; Hexagon Global (CMM) ×1,Yes,,Yes,Yes,,Ilin,No,
Tri-Par Die and Mold Corporation,CN,CN,http://www.tri-par.com,tri-par.com,AMBA,670 Sundown Rd,South Elgin,IL,60177,(630) 232-8800,Automotive; Medical; Appliance; Consumer products,Plastic injection molds; Precision die making; CNC machining & EDM; Mold repair & maintenance,"45,000 (site)",~70 (site); ~75 (public: LinkedIn 2024),~$16M (public: ZoomInfo 2024),~55,Family-owned,Makino F5 (3-axis) ×1; Sodick VL400Q (Wire EDM) ×1; Zeiss Contura (CMM) ×1,Yes,,Yes,Yes,,Ilin,Yes,
B&D Manufacturing,CY,CY,http://www.bdmfgmolds.com,bdmfgmolds.com,AMBA,2100 E Carter St,Kokomo,IN,46901,(765) 452-2761,Automotive; Consumer products; Industrial,Injection mold design/build; Production tooling; Mold repair & revisions; CNC machining,"30,000 (site)",~50 (site); ~55 (public: LinkedIn 2024),~$12M (calc from employees),40+,Privately held,Makino D200Z (5-axis) ×1; Sodick AQ537L (Wire EDM) ×1; Zeiss Duramax (CMM) ×1,Yes,Yes,Yes,No,,No region,No,
"Superior Plastics & Manufacturing (SPC Mfg., Inc.)",CY,CY,http://www.spcmfg.com,spcmfg.com,AMBA,2600 Airport Road,Waterford,MI,48327,(248) 673-6900,Automotive; Industrial; Consumer goods,Injection mold design/build; CNC machining; EDM; Mold repair & engineering changes,"25,000 (site)",~45 (site); ~50 (public: LinkedIn 2024),~$10M (calc from employees),45+,Family-owned,Makino F5 (3-axis) ×2; Sodick AQ325L (Wire EDM) ×1; Zeiss Duramax (CMM) ×1,Yes,,Yes,Yes,,Mich,No,
"Decatur Mold Tool & Engineering, Inc.",CY,CY,http://www.decaturmold.com,decaturmold.com,AMBA,3330 North State Highway 7,North Vernon,IN,47265,(812) 346-5188,Automotive; Heavy equipment; Consumer products,Large plastic injection molds; CNC machining & EDM; Mold validation & sampling; Mold repair & revisions,"80,000 (site)",~100 (site); ~110 (public: LinkedIn 2024),~$25M (public: ZoomInfo 2024),~58,Family-owned,null,Yes,,Yes,Yes,,No region,No,
Lorentson Manufacturing,C?,C?,http://www.lorentson.com,lorentson.com,AMBA,"1111 Rank Parkway, PO Box 932",Kokomo,IN,46903-0932,(765) 452-4425,Automotive; Consumer goods; Industrial,Injection molds; CNC machining; Mold repair & maintenance; Tooling support,"20,000 (site)",~40 (site); ~45 (public: LinkedIn 2024),~$9M (calc from employees),45+,Privately held,Makino D200Z (5-axis) ×1; Sodick VL400Q (Wire EDM) ×1; Hexagon Global (CMM) ×1,Yes,Yes,Yes,No,,No region,No,
Michiana Global Mold (MG Mold),C?,C?,http://www.mgmold.net,mgmold.net,AMBA,1702 East 7th Street,Mishawaka,IN,46544,(574) 259-6262,Automotive; Consumer products,Automotive injection molds; Prototype tooling; CNC machining & EDM; Mold repair,"35,000 (site)",~60 (site); ~65 (public: LinkedIn 2024),~$14M (calc from employees),30+,Privately held,Makino V33i (3-axis) ×1; Sodick AG600L (Wire EDM) ×1; Mitutoyo Crysta-Apex (CMM) ×1,Yes,,Yes,No,,Mich,No,
"Roembke Mfg. & Design, Inc.",CN,CN,http://www.roembke.com,roembke.com,AMBA,1580 Baker Drive,Ossian,IN,46777,(260) 622-4135,Medical; Automotive; Consumer products,LSR injection molds; Thermoplastic molds; Prototyping; Mold validation & sampling,"55,000 (site)",~80 (site); ~85 (public: LinkedIn 2024),~$22M (public: ZoomInfo 2024),~47,Jim Roembke (Founder/CEO),null,Yes,,Yes,Yes,,No region,Yes,
SIMCO – Southern Indiana Mold Corp.,CY,CY,http://www.soindmoldcorp.com,soindmoldcorp.com,AMBA,"2945 N. State Highway 3, P.O. Box 119",North Vernon,IN,47265,(812) 346-2622,Automotive; Packaging; Consumer products,Injection mold design/build; CNC machining; EDM; Tool repair & revisions,"28,000 (site)",~55 (site); ~60 (public: LinkedIn 2024),~$12M (calc from employees),40+,Family-owned,Makino F5 (3-axis) ×2; Sodick AQ537L (Wire EDM) ×1; Zeiss Contura (CMM) ×1,Yes,,Yes,Yes,,No region,No,
ASH Industries,CY,CY,http://www.ashindustries.com,ashindustries.com,AMBA,1330 W. Willow St.,Lafayette,LA,70506,(337) 235-0977,Medical; Consumer products; Industrial,Injection mold design/build; Plastic injection molding; Mold repair & revisions; CNC machining,"50,000 (site)",~85 (site); ~90 (public: LinkedIn 2024),~$20M (public: ZoomInfo 2024),~33,Gary Baxter (Founder/CEO),Makino D200Z (5-axis) ×1; Sodick AG600L (Wire EDM) ×1; Zeiss Duramax (CMM) ×1,Yes,Yes,Yes,No,,No region,Yes,
Prime Manufacturing Technologies,CY,CY,http://www.primemfgtech.com,primemfgtech.com,AMBA,8735 Bollman Place,Savage,MD,20763,(301) 604-0900,Automotive; Medical; Consumer products; Industrial,Precision injection molds; CNC machining & EDM; Tool repair & engineering changes; Contract manufacturing,"35,000 (site)",~65 (site); ~70 (public: LinkedIn 2024),$14M (calc from employees),,Privately held,Makino D200Z (5-axis) ×1; Sodick AG600L (Wire EDM) ×1; Zeiss Duramax (CMM) ×1,Yes,Yes,Yes,,,No region,Yes,
"Accu-Die & Mold, Inc.",CY,CY,http://www.accu-die.com,accu-die.com,AMBA,2410 S. Dixie Hwy,Kokomo,IN,46902,(765) 453-2300,Automotive; Consumer goods; Industrial,Plastic injection molds; Precision dies; CNC machining; Tooling support & maintenance,"22,000 (site)",~45 (site); ~50 (public: LinkedIn 2024),$10M (calc from employees),56,Family-owned,Makino F5 (3-axis) ×2; Sodick AQ537L (Wire EDM) ×1; Hexagon Global (CMM) ×1,Yes,,Yes,Yes,,No region,No,
Baumann Tool & Die,CY,CY,http://www.baumanntd.com,baumanntd.com,AMBA,525 East Harris Ave.,Greenville,OH,45331,(937) 548-2147,Automotive; Consumer products; Industrial,Injection mold design/build; Precision dies; CNC machining & EDM; Tool repair & maintenance,"18,000 (site)",~40 (site); ~45 (public: LinkedIn 2024),$9M (calc from employees),52,Family-owned,Makino V56i (3-axis) ×1; Sodick AQ325L (Wire EDM) ×1; Zeiss Contura (CMM) ×1,Yes,,Yes,Yes,,No region,No,
Best Tool & Engineering (BTE),CY,CY,http://www.bteplastics.com,bteplastics.com,AMBA,34730 Nova Drive,Clinton Township,MI,48035,(586) 792-4119,Automotive; Consumer products; Medical; Industrial,Injection moldmaking; Plastic injection molding; CNC machining; Mold repair & engineering changes,"28,000 (site)",~55 (site); ~60 (public: LinkedIn 2024),$12M (calc from employees),,Privately held,Makino D200Z (5-axis) ×1; Sodick VL600Q (Wire EDM) ×1; Mitutoyo Crysta-Apex (CMM) ×1,Yes,Yes,Yes,,,Mich,Yes,
Byrne Tool + Design,CY,CY,http://www.byrne-tool.com,byrne-tool.com,AMBA,316 Byrne Industrial Dr NE,Rockford,MI,49341,(616) 866-4479,Automotive; Consumer products; Medical; Electronics,Injection mold design/build; Prototyping; CNC machining & EDM; Tool repair & revisions,"40,000 (site)",~70 (site); ~75 (public: LinkedIn 2024),$15M (calc from employees),49,Family-owned,Makino F5 (3-axis) ×2; Sodick AQ537L (Wire EDM) ×1; Zeiss Duramax (CMM) ×1,Yes,,Yes,Yes,,Mich,Yes,
Classic Die,CY,CY,http://www.classicdie.com,classicdie.com,AMBA,610 Plymouth NE,Grand Rapids,MI,49505,(616) 454-3760,Automotive; Appliance; Consumer goods,Injection molds; Precision dies; CNC machining; Mold repair & engineering changes,"30,000 (site)",~60 (site); ~65 (public: LinkedIn 2024),$13M (calc from employees),,Privately held,Makino F5 (3-axis) ×2; Sodick AQ537L (Wire EDM) ×1; Zeiss Duramax (CMM) ×1,Yes,,Yes,,,Mich,No,
Commercial Tool Group,CY,CY,http://www.commercialtoolgroup.com,commercialtoolgroup.com,AMBA,5351 Rusche Dr NW,Comstock Park,MI,49321,(616) 785-8100,Automotive; Consumer goods; Appliance; Industrial,Large plastic injection molds; CNC machining; Automation & tooling integration; Mold repair & revisions,"150,000+ (site)",~250 (site); ~260 (public: LinkedIn 2024),$70M (public: ZoomInfo 2024),72,Privately held; family-owned,Makino D200Z (5-axis) ×1; Sodick AG600L (Wire EDM) ×1; Hexagon Global (CMM) ×1,Yes,Yes,Yes,Yes,,Mich,No,
